temperature,humidity,numVehicles,numPedestrians,ambulanceDetected,delay_time,time
19.9,75,21,1,false,5000,2024-12-15T14:43:02.193Z

19.9,75,21,1,false,4000,2024-12-15T14:43:03.633Z

19.7,75,21,0,false,4000,2024-12-15T14:43:05.227Z

20,75,21,0,false,4000,2024-12-15T14:43:12.265Z

20,75,21,0,false,3500,2024-12-15T14:43:14.389Z

20,75,28,0,false,3500,2024-12-15T14:43:15.877Z

20,75,28,0,false,3500,2024-12-15T14:43:17.400Z

19.7,75,28,2,false,3500,2024-12-15T14:43:19.548Z

20,75,28,2,false,4000,2024-12-15T14:43:21.643Z

20,75,28,2,false,3500,2024-12-15T14:43:23.210Z

0,0,27,2,false,3500,2024-12-15T14:43:24.693Z

0,0,27,2,false,3000,2024-12-15T14:43:26.269Z

0,0,27,2,false,3000,2024-12-15T14:43:27.866Z

0,0,27,2,false,3000,2024-12-15T14:43:29.354Z

0,0,27,2,false,3000,2024-12-15T14:43:30.834Z

0,0,21,2,false,3000,2024-12-15T14:43:32.500Z

0,0,21,2,false,3000,2024-12-15T14:43:39.581Z

0,0,21,1,false,3000,2024-12-15T14:43:41.883Z

0,0,18,1,false,3000,2024-12-15T14:43:43.764Z

0,0,18,1,false,3000,2024-12-15T14:43:45.462Z

0,0,18,0,false,3000,2024-12-15T14:43:47.789Z

0,0,18,0,false,3000,2024-12-15T14:43:49.365Z

0,0,18,0,false,3000,2024-12-15T14:43:51.130Z

0,0,28,0,false,3000,2024-12-15T14:43:53.866Z

0,0,28,0,false,3000,2024-12-15T14:43:55.754Z

0,0,28,1,false,3000,2024-12-15T14:43:57.539Z

0,0,28,1,false,3000,2024-12-15T14:43:59.709Z

0,0,28,1,false,3000,2024-12-15T14:44:01.260Z

0,0,27,1,false,3000,2024-12-15T14:44:02.911Z

0,0,27,1,false,3000,2024-12-15T14:44:04.508Z

0,0,27,2,false,3000,2024-12-15T14:44:06.710Z

0,0,27,2,false,3000,2024-12-15T14:44:08.244Z

0,0,27,2,false,3000,2024-12-15T14:44:09.903Z

0,0,27,2,false,3000,2024-12-15T14:44:11.417Z

0,0,19,2,false,3000,2024-12-15T14:44:13.186Z

0,0,19,2,false,3000,2024-12-15T14:44:14.964Z

0,0,19,1,false,3000,2024-12-15T14:44:16.796Z

0,0,19,1,false,3000,2024-12-15T14:44:18.462Z

0,0,19,1,false,3000,2024-12-15T14:44:20.578Z

0,0,19,1,false,3000,2024-12-15T14:44:22.197Z

0,0,21,1,false,3000,2024-12-15T14:44:24.356Z

0,0,21,1,false,3000,2024-12-15T14:44:26.043Z

0,0,21,1,false,3000,2024-12-15T14:44:27.684Z

0,0,21,1,false,3000,2024-12-15T14:44:29.795Z

0,0,21,1,false,3000,2024-12-15T14:44:31.534Z

0,0,29,1,false,3000,2024-12-15T14:44:33.275Z

0,0,29,1,false,3000,2024-12-15T14:44:35.446Z

0,0,29,1,false,3000,2024-12-15T14:44:37.989Z

0,0,29,1,false,3000,2024-12-15T14:44:39.900Z

0,0,29,1,false,3000,2024-12-15T14:44:41.540Z

0,0,27,1,false,3000,2024-12-15T14:44:43.216Z

0,0,27,1,false,3000,2024-12-15T14:44:45.034Z

0,0,27,2,false,3000,2024-12-15T14:44:47.932Z

0,0,27,2,false,3000,2024-12-15T14:44:50.045Z

0,0,27,2,false,3000,2024-12-15T14:44:51.578Z

0,0,23,2,false,3000,2024-12-15T14:44:54.434Z

0,0,23,2,false,3000,2024-12-15T14:45:02.041Z

0,0,23,0,false,3000,2024-12-15T14:45:08.780Z

0,0,0,0,false,5000,2024-12-15T14:46:03.536Z

0,0,0,0,false,4000,2024-12-15T14:46:09.448Z

20,75,0,0,false,4000,2024-12-15T14:46:27.326Z

0,0,0,0,false,5000,2024-12-15T14:47:21.267Z

0,0,0,0,false,4000,2024-12-15T14:47:25.898Z

0,0,0,0,false,5000,2024-12-15T14:47:31.255Z

0,0,0,0,false,5000,2024-12-15T14:47:50.517Z

0,0,0,0,false,4000,2024-12-15T14:47:57.515Z

19.9,78,0,0,false,4000,2024-12-15T14:48:06.400Z

19.9,75,0,0,false,5000,2024-12-15T14:48:09.551Z

20,75,23,0,false,5000,2024-12-15T14:48:20.824Z

20,75,23,0,false,3500,2024-12-15T14:48:25.133Z

19.9,75,23,0,false,3500,2024-12-15T14:48:27.393Z

20,75,22,0,false,4000,2024-12-15T14:48:33.842Z

20,75,22,0,false,3500,2024-12-15T14:48:39.419Z

19.9,75,22,2,false,3500,2024-12-15T14:48:41.966Z

19.9,75,30,2,false,4000,2024-12-15T14:48:43.545Z

19.8,75,30,2,false,4000,2024-12-15T14:48:46.210Z

19.8,75,30,2,false,4000,2024-12-15T14:48:47.946Z

19.9,75,28,2,false,4000,2024-12-15T14:48:51.939Z

19.9,75,28,2,false,4000,2024-12-15T14:48:52.522Z

19.9,75,28,1,false,4000,2024-12-15T14:48:56.232Z

0,0,24,1,false,4000,2024-12-15T14:49:00.064Z

0,0,24,1,false,3000,2024-12-15T14:49:01.834Z

20.2,74,24,0,false,3000,2024-12-15T14:49:03.972Z

20,75,19,0,false,3500,2024-12-15T14:49:06.903Z

20,75,19,0,false,3500,2024-12-15T14:49:08.693Z

19.9,75,19,2,false,3500,2024-12-15T14:49:11.143Z

19.9,75,19,2,false,5000,2024-12-15T14:49:12.851Z

19.9,75,31,2,false,5000,2024-12-15T14:49:16.797Z

20,75,31,2,false,4000,2024-12-15T14:49:19.157Z

20,75,31,2,false,3500,2024-12-15T14:49:20.712Z

20,75,25,2,false,3500,2024-12-15T14:49:22.117Z

20,75,25,2,false,3500,2024-12-15T14:49:24.847Z

20,75,25,1,false,3500,2024-12-15T14:49:25.177Z

20,75,24,1,false,3500,2024-12-15T14:49:26.780Z

19.9,75,24,1,false,3500,2024-12-15T14:49:28.317Z

19.9,74,24,0,false,4000,2024-12-15T14:49:31.151Z

19.9,74,22,0,false,4000,2024-12-15T14:49:32.715Z

19.9,75,22,0,false,4000,2024-12-15T14:49:34.171Z

19.9,75,22,1,false,4000,2024-12-15T14:49:35.705Z

19.9,75,30,1,false,4000,2024-12-15T14:49:37.731Z

19.9,75,30,1,false,4000,2024-12-15T14:49:39.133Z

19.9,75,30,1,false,4000,2024-12-15T14:49:40.638Z

19.9,75,30,1,false,4000,2024-12-15T14:49:42.138Z

19.9,75,22,1,false,4000,2024-12-15T14:49:45.997Z

19.9,75,22,1,false,4000,2024-12-15T14:49:47.420Z

19.9,75,22,1,false,4000,2024-12-15T14:49:50.547Z

19.9,75,22,1,false,4000,2024-12-15T14:49:51.983Z

19.8,75,22,1,false,4000,2024-12-15T14:49:53.446Z

19.8,75,23,1,false,4000,2024-12-15T14:49:54.999Z

19.9,75,23,1,false,4000,2024-12-15T14:49:56.585Z

